,finalPrice,auctionId,auctionTitle,auctionDate,auctionLocation,estimate_low,estimate_high,title,displayName,url,startingBid,currentBid,numberOfBids,sold
0,,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,120000,180000," LISA BRICE | NO BARE BACK, AFTER EMBAH", LISA BRICE,/en/buy/auction/2020/contemporary-art-evening-auction-2/lisa-brice-no-bare-back-after-embah,12000,,0,False
1,523200.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,250000,350000,HENRY TAYLOR |  SEE ALICE JUMP,Henry Taylor,/en/buy/auction/2020/contemporary-art-evening-auction-2/henry-taylor-see-alice-jump,210000,420000.0,21,True
2,801500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,600000,800000,ALBERT OEHLEN |  UNTITLED,None,/en/buy/auction/2020/contemporary-art-evening-auction-2/albert-oehlen-untitled,400000,650000.0,8,True
3,1225000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,800000,1200000, GEORGE CONDO |  WOMEN AND MEN,George Condo,/en/buy/auction/2020/contemporary-art-evening-auction-2/george-condo-women-and-men,700000,1000000.0,8,True
4,5081250.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,4600000,6600000, JEAN-MICHEL BASQUIAT  |  JUSTCOME SUIT,Jean-Michel Basquiat,/en/buy/auction/2020/contemporary-art-evening-auction-2/jean-michel-basquiat-justcome-suit,4100000,4250000.0,3,True
5,7551600.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,3000000,5000000, BANKSY  | SHOW ME THE MONET ,Banksy,/en/buy/auction/2020/contemporary-art-evening-auction-2/banksy-show-me-the-monet,2600000,6400000.0,35,True
6,680500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,400000,600000,GLENN BROWN | THE REAL THING,Glenn Brown,/en/buy/auction/2020/contemporary-art-evening-auction-2/glenn-brown-the-real-thing,280000,550000.0,12,True
7,2855800.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,2400000,3400000, ADRIAN GHENIE | PIE FIGHT INTERIOR,ADRIAN GHENIE,/en/buy/auction/2020/contemporary-art-evening-auction-2/adrian-ghenie-pie-fight-interior,2200000,2347768.0,2,True
8,,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,500000,700000,GEORG BASELITZ  | OHNE TITEL (WALDARBEITER) (UNTITLED (WOODSMAN)),None,/en/buy/auction/2020/contemporary-art-evening-auction-2/georg-baselitz-ohne-titel-waldarbeiter-untitled,50000,,0,False
9,,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,700000,1000000, JEAN DUBUFFET  |   LES VOEUX DE MARIAGE (MARRIAGE VOWS),Jean  Dubuffet,/en/buy/auction/2020/contemporary-art-evening-auction-2/jean-dubuffet-les-voeux-de-mariage-marriage-vows,70000,,0,False
10,1225000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,800000,1200000,GERHARD RICHTER |  ARNOLD,Gerhard Richter,/en/buy/auction/2020/contemporary-art-evening-auction-2/gerhard-richter-arnold,600000,1000000.0,15,True
11,1087693.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,900000,1200000,SIGMAR POLKE |  UNTITLED, Sigmar Polke,/en/buy/auction/2020/contemporary-art-evening-auction-2/sigmar-polke-untitled,700000,886524.0,5,True
12,1588000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1400000,1800000,ALBERT OEHLEN | FREEWAY EXPRESS,Albert Oehlen,/en/buy/auction/2020/contemporary-art-evening-auction-2/albert-oehlen-freeway-express,1000000,1300000.0,4,False
13,620000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,500000,700000, BEATRIZ MILHAZES |  MARACOROLA, Beatriz Milhazes,/en/buy/auction/2020/contemporary-art-evening-auction-2/beatriz-milhazes-maracorola,300000,500000.0,5,True
14,499000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,450000,650000,YAYOI KUSAMA | DYING PEOPLE,Yayoi  Kusama,/en/buy/auction/2020/contemporary-art-evening-auction-2/yayoi-kusama-dying-people,250000,400000.0,4,False
15,1709000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1500000,2000000,CECILY BROWN |  UNTITLED,Cecily  Brown,/en/buy/auction/2020/contemporary-art-evening-auction-2/cecily-brown-untitled,1400000,1400000.0,1,False
16,2253500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1500000,2000000, JEAN-MICHEL BASQUIAT | MINOR SUCCESS,Jean-Michel Basquiat,/en/buy/auction/2020/contemporary-art-evening-auction-2/jean-michel-basquiat-minor-success,1200000,1850000.0,11,True
