,finalPrice,auctionId,estimate_low,estimate_high,title,displayName,url,startingBid,currentBid,numberOfBids,sold
1,44100,2a141caf-102b-43b5-bb5b-bd51e17fe927,4000,6000,Study,Flora Yukhnovich,/en/buy/auction/2021/contemporary-art-online-2/study-2,4000,35000,32,TRUE
2,32760,2a141caf-102b-43b5-bb5b-bd51e17fe927,10000,15000,September Blues,Petra Cortright,/en/buy/auction/2021/contemporary-art-online-2/september-blues,1000,26000,30,TRUE
3,81900,2a141caf-102b-43b5-bb5b-bd51e17fe927,20000,30000,Untitled  ,Aboudia,/en/buy/auction/2021/contemporary-art-online-2/untitled-3,20000,65000,19,TRUE
4,15120,2a141caf-102b-43b5-bb5b-bd51e17fe927,3000,5000,Untitled,Jonathan Lasker,/en/buy/auction/2021/contemporary-art-online-2/untitled-4,2000,12000,23,TRUE
5,75600,2a141caf-102b-43b5-bb5b-bd51e17fe927,15000,20000,Sacred Solicitations II,Retna,/en/buy/auction/2021/contemporary-art-online-2/sacred-solicitations-ii,15000,60000,23,TRUE
6,37800,2a141caf-102b-43b5-bb5b-bd51e17fe927,6000,8000,Untitled,Aboudia,/en/buy/auction/2021/contemporary-art-online-2/untitled-5,6000,30000,24,TRUE
7,,2a141caf-102b-43b5-bb5b-bd51e17fe927,20000,30000,Untitled #6,Keith Haring,/en/buy/auction/2021/contemporary-art-online-2/untitled-6-2,20000,,0,FALSE
8,4410,2a141caf-102b-43b5-bb5b-bd51e17fe927,3000,4000,Suckling,Gary Hume,/en/buy/auction/2021/contemporary-art-online-2/suckling,3000,3500,3,TRUE
9,32760,2a141caf-102b-43b5-bb5b-bd51e17fe927,12000,18000,This is Shahnoza 46,Julian Opie,/en/buy/auction/2021/contemporary-art-online-2/this-is-shahnoza-46,12000,26000,12,TRUE
10,47880,2a141caf-102b-43b5-bb5b-bd51e17fe927,8000,12000,Seated Figure,Stik,/en/buy/auction/2021/contemporary-art-online-2/seated-figure,8000,38000,24,TRUE
11,30240,2a141caf-102b-43b5-bb5b-bd51e17fe927,12000,18000,Napalm,Banksy,/en/buy/auction/2021/contemporary-art-online-2/napalm,12000,24000,11,TRUE
12,100800,2a141caf-102b-43b5-bb5b-bd51e17fe927,40000,60000,Dreaming,Damien Hirst,/en/buy/auction/2021/contemporary-art-online-2/dreaming-2,40000,80000,10,TRUE
13,15120,2a141caf-102b-43b5-bb5b-bd51e17fe927,10000,15000,Untitled,Antony Gormley,/en/buy/auction/2021/contemporary-art-online-2/untitled-7,8000,12000,8,TRUE
14,5040,2a141caf-102b-43b5-bb5b-bd51e17fe927,4000,6000,Bullet Drawing,Cornelia Parker,/en/buy/auction/2021/contemporary-art-online-2/bullet-drawing,4000,4000,1,TRUE
15,,2a141caf-102b-43b5-bb5b-bd51e17fe927,5000,7000,Art for Other People No. 46,Richard Deacon,/en/buy/auction/2021/contemporary-art-online-2/art-for-other-people-no-46,3000,,0,FALSE
16,,2a141caf-102b-43b5-bb5b-bd51e17fe927,6000,8000,"Glasgow, rainy day",Douglas Gordon,/en/buy/auction/2021/contemporary-art-online-2/glasgow-rainy-day,5500,,0,FALSE
17,,2a141caf-102b-43b5-bb5b-bd51e17fe927,4000,6000,The Pirate   ,Gilbert and George,/en/buy/auction/2021/contemporary-art-online-2/the-pirate,3800,,0,FALSE
18,3024,2a141caf-102b-43b5-bb5b-bd51e17fe927,2500,3500,Untitled (2 works),Marcel Dzama,/en/buy/auction/2021/contemporary-art-online-2/untitled-2-works,2400,2400,1,TRUE
19,15120,2a141caf-102b-43b5-bb5b-bd51e17fe927,8000,12000,Untitled (Last Right) ,Yoshitomo  Nara,/en/buy/auction/2021/contemporary-art-online-2/untitled-last-right,8000,12000,7,TRUE
20,22680,2a141caf-102b-43b5-bb5b-bd51e17fe927,8000,12000,Untitled,George Condo,/en/buy/auction/2021/contemporary-art-online-2/untitled-8,8000,18000,15,TRUE
21,27720,2a141caf-102b-43b5-bb5b-bd51e17fe927,15000,20000,Hybridized,Andy Denzler,/en/buy/auction/2021/contemporary-art-online-2/hybridized,15000,22000,5,TRUE
